Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,0,0,1102,0,1,2,0,2,0,94,3,2,0,4,0,5993,19479,8,0,11,3,1,0,8,0,1,6,4,0,5
49,1,1,279,1,8,1,0,3,1,61,2,2,1,2,1,5130,24907,1,1,23,4,4,1,10,3,3,10,7,1,7
37,0,0,1373,1,2,2,1,4,1,92,2,1,2,3,0,2090,2396,6,0,15,3,2,0,7,3,3,0,0,0,0
33,1,1,1392,1,3,4,0,4,0,56,3,1,1,3,1,2909,23159,1,0,11,3,3,0,8,3,3,8,7,3,0
27,1,0,591,1,2,1,2,1,1,40,3,1,2,2,1,3468,16632,9,1,12,3,4,1,6,3,3,2,2,2,2
32,1,1,1005,1,2,2,0,4,1,79,3,1,2,4,0,3068,11864,0,1,13,3,3,0,8,2,2,7,7,3,6
59,1,0,1324,1,3,3,2,3,0,81,4,1,2,1,1,2670,9964,4,0,20,4,1,3,12,3,2,1,0,0,0
30,1,0,1358,1,24,1,0,4,1,67,3,1,2,3,2,2693,13335,1,1,22,4,2,1,1,2,3,1,0,0,0
38,1,1,216,1,23,3,0,4,1,44,2,3,3,3,0,9526,8787,0,1,21,4,2,0,10,2,3,9,7,1,8
36,1,0,1299,1,27,3,2,3,1,94,3,2,4,3,1,5237,16577,6,1,13,3,2,2,17,3,2,7,7,7,7
35,1,0,809,1,16,3,2,1,1,84,4,1,2,2,1,2426,16479,0,1,13,3,3,1,6,5,3,5,4,0,3
29,1,0,153,1,15,2,0,4,0,49,2,2,2,3,0,4193,12682,0,0,12,3,4,0,10,3,3,9,5,0,8
31,1,0,670,1,26,1,0,1,1,31,3,1,1,3,2,2911,15170,1,1,17,3,4,1,5,1,2,5,2,4,3
34,1,0,1346,1,19,2,2,2,1,93,3,1,2,4,2,2661,8758,0,1,11,3,3,1,3,2,3,2,2,1,2
28,0,0,103,1,24,3,0,3,1,50,2,1,2,3,0,2028,12947,5,0,14,3,2,0,6,4,3,4,2,0,3
29,1,0,1389,1,21,4,0,2,0,51,4,3,3,1,2,9980,10195,1,1,11,3,3,1,10,1,3,10,9,8,8
32,1,0,334,1,5,2,0,1,1,80,4,1,1,2,2,3298,15053,0,0,12,3,4,2,7,5,2,6,2,0,5
22,1,2,1123,1,16,2,2,4,1,96,4,1,2,4,2,2935,7324,1,0,13,3,2,2,1,2,2,1,0,0,0
53,1,0,1219,0,2,4,0,1,0,78,2,4,5,4,1,15427,22021,2,1,16,3,3,0,31,3,3,25,8,3,7
38,1,0,371,1,2,3,0,4,1,45,3,1,1,4,0,3944,4306,5,0,11,3,3,0,6,3,3,3,2,1,2
24,1,2,673,1,11,2,1,1,0,96,4,2,3,3,2,4011,8232,0,1,18,3,4,1,5,5,2,4,2,1,3
36,0,0,1218,0,9,4,0,3,1,82,2,1,6,1,0,3407,6986,7,1,23,4,2,0,10,4,3,5,3,0,3
34,1,0,419,1,7,4,0,1,0,53,3,3,7,2,0,11994,21293,0,1,11,3,3,0,13,4,3,12,6,2,11
21,1,0,391,1,15,2,0,3,1,96,3,1,1,4,0,1232,19281,1,1,14,3,4,0,0,6,3,0,0,0,0
34,0,0,699,1,6,1,2,2,1,83,3,1,1,1,0,2960,17102,2,1,11,3,3,0,8,2,3,4,2,1,3
53,1,0,1282,1,5,3,1,3,0,58,3,5,5,3,2,19094,10735,4,1,11,3,4,1,26,3,2,14,13,4,8
32,0,1,1125,1,16,1,0,2,0,72,1,1,1,1,0,3919,4681,1,0,22,4,2,0,10,5,3,10,2,6,7
42,1,0,691,0,8,4,3,3,1,48,3,2,0,2,1,6825,21173,0,1,11,3,4,1,10,2,3,9,7,4,2
44,1,0,477,1,7,4,2,1,0,42,2,3,4,4,1,10248,2094,3,1,14,3,4,1,24,4,3,22,6,5,17
46,1,0,705,0,2,4,3,2,0,83,3,5,5,1,0,18947,22822,3,1,12,3,4,0,22,2,2,2,2,2,1
33,1,0,924,1,2,3,2,3,1,78,3,1,2,4,0,2496,6670,4,1,11,3,4,0,7,3,3,1,1,0,0
44,1,0,1459,1,10,4,1,4,1,41,3,2,4,4,1,6465,19121,2,0,13,3,4,0,9,5,4,4,2,1,3
30,1,0,125,1,9,2,2,4,1,83,2,1,2,3,0,2206,16117,1,1,13,3,1,0,10,5,3,10,0,1,8
39,0,0,895,0,5,3,4,4,1,56,3,2,6,4,1,2086,3335,3,1,14,3,3,1,19,6,4,1,0,0,0
24,0,0,813,1,1,3,2,2,1,61,3,1,1,4,1,2293,3020,2,0,16,3,1,1,6,2,2,2,0,2,0
43,1,0,1273,1,2,2,2,4,0,72,4,1,1,3,2,2645,21923,1,1,12,3,4,2,6,3,2,5,3,1,4
50,0,0,869,0,3,2,3,1,1,86,2,1,6,3,1,2683,3810,1,0,14,3,3,0,3,2,3,3,2,0,2
35,1,0,890,0,2,3,3,4,0,97,3,1,6,4,1,2014,9687,1,1,13,3,1,0,2,3,3,2,2,2,2
36,1,0,852,1,5,4,0,2,0,82,2,1,1,1,1,3419,13072,9,0,14,3,4,1,6,3,4,1,1,0,0
33,1,1,1141,0,1,3,0,3,0,42,4,2,0,1,1,5376,3193,2,1,19,3,1,2,10,3,3,5,3,1,3
35,1,0,464,1,4,2,1,3,1,75,3,1,2,4,2,1951,10910,1,1,12,3,3,1,1,3,3,1,0,0,0
27,1,0,1240,1,2,4,0,4,0,33,3,1,2,1,2,2341,19715,1,1,13,3,4,1,1,6,3,1,0,0,0
26,0,0,1357,1,25,3,0,1,1,48,1,1,2,3,0,2293,10558,1,1,12,3,3,0,1,2,2,1,0,0,1
27,1,1,994,0,8,3,0,4,1,37,3,3,0,3,0,8726,2975,1,1,15,3,4,0,9,0,3,9,8,1,7
30,1,1,721,1,1,2,2,3,0,58,3,2,2,4,0,4011,10781,1,1,23,4,4,0,12,2,3,12,8,3,7
41,0,0,1360,1,12,3,4,2,0,49,3,5,7,3,1,19545,16280,1,1,12,3,4,0,23,0,3,22,15,15,8
34,1,2,1065,0,23,4,3,2,1,72,3,2,0,3,0,4568,10034,0,1,20,4,3,0,10,2,3,9,5,8,7
37,1,0,408,1,19,2,0,2,1,73,3,1,1,2,1,3022,10227,4,1,21,4,1,0,8,1,3,1,0,0,0
46,1,1,1211,0,5,4,3,1,1,98,3,2,0,4,0,5772,20445,4,0,21,4,3,0,14,4,3,9,6,0,8
35,1,0,1229,1,8,1,0,4,1,36,4,1,2,4,1,2269,4892,1,1,19,3,4,0,1,2,3,1,0,0,1
48,0,0,626,1,1,2,0,1,1,98,2,3,2,3,0,5381,19294,9,0,13,3,4,0,23,2,3,1,0,0,0
28,0,0,1434,1,5,4,4,3,1,50,3,1,2,3,0,3441,11179,1,0,13,3,3,0,2,3,2,2,2,2,2
44,1,0,1488,0,1,5,3,2,0,75,3,2,0,1,2,5454,4009,5,0,21,4,3,1,9,2,2,4,3,1,3
35,1,2,1097,1,11,2,2,3,1,79,2,3,4,1,1,9884,8302,2,0,13,3,3,1,10,3,3,4,0,2,3
26,1,0,1443,0,23,3,3,3,0,47,2,2,0,4,1,4157,21436,7,0,19,3,3,1,5,2,2,2,2,0,0
33,1,1,515,1,1,2,0,1,0,98,3,3,7,4,0,13458,15146,1,0,12,3,3,0,15,1,3,15,14,8,12
35,1,1,853,0,18,5,0,2,1,71,3,3,0,1,1,9069,11031,1,1,22,4,4,1,9,3,2,9,8,1,8
35,1,0,1142,1,23,4,2,3,0,30,3,1,2,1,1,4014,16002,3,0,15,3,3,1,4,3,3,2,2,2,2
31,1,0,655,1,7,4,0,4,1,48,3,2,2,4,2,5915,9528,3,1,22,4,4,1,10,3,2,7,7,1,7
37,1,0,1115,1,1,4,0,1,1,51,2,2,3,3,2,5993,2689,1,1,18,3,3,1,7,2,4,7,5,0,7
32,1,0,427,1,1,3,2,1,1,33,3,2,3,4,1,6162,10877,1,0,22,4,2,1,9,3,3,9,8,7,8
38,1,1,653,1,29,5,0,4,0,50,3,2,2,4,0,2406,5456,1,1,11,3,4,0,10,2,3,10,3,9,9
50,1,0,989,1,7,2,2,2,0,43,2,5,7,3,2,18740,16701,5,0,12,3,4,1,29,2,2,27,3,13,8
59,1,0,1435,0,25,3,0,1,0,99,3,3,0,1,0,7637,2354,7,1,11,3,4,0,28,3,2,21,16,7,9
36,1,0,1223,1,8,3,4,3,0,59,3,3,4,3,2,10096,8202,1,1,13,3,2,3,17,2,3,17,14,12,8
55,1,0,836,1,8,3,2,4,0,33,3,4,5,3,2,14756,19730,2,0,14,3,3,3,21,2,3,5,0,0,2
36,1,1,1195,1,11,3,0,2,1,95,2,2,3,2,0,6499,22656,1,1,13,3,3,0,6,3,3,6,5,0,3
45,1,0,1339,1,7,3,0,2,1,59,3,3,1,1,2,9724,18787,2,1,17,3,3,1,25,2,3,1,0,0,0
35,1,1,664,1,1,3,2,2,1,79,3,1,1,1,1,2194,5868,4,1,13,3,4,1,5,2,2,3,2,1,2
36,0,0,318,1,9,3,2,4,1,79,2,1,1,3,1,3388,21777,0,0,17,3,1,1,2,0,2,1,0,0,0
59,1,1,1225,0,1,1,0,1,0,57,2,2,0,3,0,5473,24668,7,1,11,3,4,0,20,2,2,4,3,1,3
29,1,0,1328,1,2,3,0,3,1,76,3,1,1,2,1,2703,4956,0,1,23,4,4,1,6,3,3,5,4,0,4
31,1,0,1082,1,1,4,2,3,1,87,3,1,1,2,0,2501,18775,1,1,17,3,2,0,1,4,3,1,1,1,0
32,1,0,548,1,1,3,0,2,1,66,3,2,1,2,1,6220,7346,1,1,17,3,2,2,10,3,3,10,4,0,9
36,1,0,132,1,6,3,0,2,0,55,4,1,2,4,1,3038,22002,3,1,12,3,2,0,5,3,3,1,0,0,0
31,1,0,746,1,8,4,0,3,0,61,3,2,3,4,0,4424,20682,1,1,23,4,4,0,11,2,3,11,7,1,8
35,1,0,776,0,1,4,3,3,1,32,2,2,0,1,0,4312,23016,0,1,14,3,2,0,16,2,3,15,13,2,8
45,1,0,193,1,6,4,1,4,1,52,3,3,7,1,1,13245,15067,4,0,14,3,2,0,17,3,4,0,0,0,0
37,1,0,397,1,7,4,2,1,1,30,3,3,7,3,0,13664,25258,4,1,13,3,1,0,16,3,4,5,2,0,2
46,1,0,945,2,5,2,2,2,1,80,3,2,8,2,2,5021,10425,8,0,22,4,4,1,16,2,3,4,2,0,2
30,1,0,852,1,1,1,0,4,1,55,2,2,2,4,1,5126,15998,1,0,12,3,3,2,10,1,2,10,8,3,0
35,1,0,1214,1,1,3,2,2,1,30,2,1,1,3,0,2859,26278,1,1,18,3,1,0,6,3,3,6,4,0,4
55,1,0,111,0,1,2,0,1,1,70,3,3,0,4,1,10239,18092,3,1,14,3,4,1,24,4,3,1,0,1,0
38,1,2,573,1,6,3,2,2,0,79,1,2,1,4,2,5329,15717,7,0,12,3,4,3,17,3,3,13,11,1,9
34,1,0,1153,1,1,2,2,1,1,94,3,2,3,2,1,4325,17736,1,1,15,3,3,0,5,2,3,5,2,1,3
56,1,0,1400,1,7,3,0,4,1,49,1,3,3,4,0,7260,21698,4,1,11,3,1,0,37,3,2,6,4,0,2
23,1,0,541,0,2,1,4,3,1,62,3,1,6,1,2,2322,9518,3,1,13,3,3,1,3,3,3,0,0,0,0
51,1,0,432,1,9,4,0,4,1,96,3,1,2,4,1,2075,18725,3,1,23,4,2,2,10,4,3,4,2,0,3
30,1,0,288,1,2,3,0,3,1,99,2,2,4,4,1,4152,15830,1,1,19,3,1,3,11,3,3,11,10,10,8
46,0,0,669,0,9,2,2,3,1,64,2,3,0,4,0,9619,13596,1,1,16,3,4,0,9,3,3,9,8,4,7
40,1,1,530,1,1,4,0,3,1,78,2,4,4,2,1,13503,14115,1,1,22,4,4,1,22,3,2,22,3,11,11
51,1,0,632,0,21,4,3,3,1,71,3,2,0,4,0,5441,8423,0,0,22,4,4,0,11,2,1,10,7,1,0
30,1,0,1334,0,4,2,2,3,0,63,2,2,0,2,2,5209,19760,1,0,12,3,2,3,11,4,2,11,8,2,7
